1	0.659566	SUPERFIELD
2:7:2	0.00056884	J COMPUT PHYS	JOURNAL OF COMPUTATIONAL PHYSICS
2:7:3	0.00016297	ANNU REV FLUID MECH	ANNUAL REVIEW OF FLUID MECHANICS
2:7:4	5.1079e-05	PROG ENERG COMBUST	PROGRESS IN ENERGY AND COMBUSTION SCIENCE
2:7:5	3.6521e-05	PROG AEROSP SCI	PROGRESS IN AEROSPACE SCIENCES
2:10	0.00343798	CIRCUITS
2:10:1	0.00049607	IEEE J SOLID-ST CIRC	IEEE JOURNAL OF SOLID-STATE CIRCUITS
3	0.0470407	SUPERFIELD
3:1	0.0184456	MATHEMATICS
3:1:1	0.00051589	COMMUN MATH PHYS	COMMUNICATIONS IN MATHEMATICAL PHYSICS
3:1:2	0.00036108	INVENT MATH	INVENTIONES MATHEMATICAE
3:1:3	0.00030788	ANN MATH	ANNALS OF MATHEMATICS
3:1:4	0.00025898	DUKE MATH J	DUKE MATHEMATICAL JOURNAL
3:1:5	0.00023226	MATH ANN	MATHEMATISCHE ANNALEN
3:1:6	0.00023203	ADV MATH	ADVANCES IN MATHEMATICS
3:1:7	0.0002215	SIAM J SCI COMPUT	SIAM JOURNAL ON SCIENTIFIC COMPUTING
3:1:8	0.00021249	ANN PROBAB	ANNALS OF PROBABILITY
3:1:9	0.00020401	J AM MATH SOC	JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY
3:1:10	0.00020257	J REINE ANGEW MATH	JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK
3:1:11	0.00018672	COMMUN PUR APPL MATH	COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS
3:1:12	0.00015313	PROBAB THEORY REL	PROBABILITY THEORY AND RELATED FIELDS
3:1:13	0.0001466	ARCH RATION MECH AN	ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS
3:1:14	0.00013227	SIAM REV	SIAM REVIEW
3:1:15	0.00012786	GEOM FUNCT ANAL	GEOMETRIC AND FUNCTIONAL ANALYSIS
3:1:16	0.00012207	P LOND MATH SOC	PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY
3:1:17	0.00011218	J DIFFER GEOM	JOURNAL OF DIFFERENTIAL GEOMETRY
3:1:18	9.6847e-05	AM J MATH	AMERICAN JOURNAL OF MATHEMATICS
3:1:19	9.0497e-05	J MATH PURE APPL	JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES
3:1:20	8.4716e-05	ANN SCI ECOLE NORM S	ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE
3:1:21	8.3408e-05	COMMENT MATH HELV	COMMENTARII MATHEMATICI HELVETICI
3:1:22	8.0297e-05	MEM AM MATH SOC	MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY
3:1:23	7.7245e-05	B AM MATH SOC	BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY
3:1:24	6.5898e-05	APPL COMPUT HARMON A	APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS
3:1:25	6.083e-05	ACTA MATH-DJURSHOLM	ACTA MATHEMATICA
3:2	0.00593384	TELECOMMUNICATION
3:2:1	0.00055093	IEEE T COMMUN	IEEE TRANSACTIONS ON COMMUNICATIONS
3:2:2	0.00053446	IEEE J SEL AREA COMM	IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS
